,article_doi,Publication Year
ATC00000,10.1016/j.chemosphere.2015.06.021,2015
ATC00001,10.1007/s10646-009-0404-4,2010
ATC00002,10.1016/j.seares.2018.05.011,2019
ATC00003,10.1080/17435390902788078,2009
ATC00004,10.1021/acs.est.7b04339,2018
ATC00005,10.1016/j.scitotenv.2010.07.041,2010
ATC00006,10.1016/j.ecoenv.2018.07.099,2018
ATC00007,10.1016/j.envpol.2012.11.017,2013
ATC00008,10.1016/j.marpolbul.2011.04.017,2011
ATC00009,10.1016/j.aquatox.2010.11.002,2011
ATC00010,10.1039/c6en00408c,2017
ATC00011,10.1016/j.scitotenv.2012.01.023,2012
ATC00012,10.1021/acs.est.7b05796,2018
ATC00013,10.1016/j.ecoenv.2010.10.017,2011
ATC00014,10.1007/s10337-014-2775-9,2014
ATC00015,10.1039/c1nr10319a,2011
ATC00016,10.1016/j.cbpc.2022.109343,2022
ATC00017,10.1016/j.envpol.2019.112980,2019
ATC00018,10.1577/A09-054.1,2010
ATC00019,10.1016/j.chemosphere.2016.02.075,2016
ATC00020,10.1007/s11356-012-1256-7,2013
ATC00021,10.3390/ma14154250,2021
ATC00022,10.1016/j.envpol.2023.122235,2023
ATC00023,10.1016/j.foodcont.2023.110089,2024
ATC00024,10.1002/tox.22031,2016
ATC00025,10.1016/j.aquatox.2021.105867,2021
ATC00026,10.1016/j.envpol.2008.12.025,2009
ATC00027,10.3109/17435390.2013.822116,2014
ATC00028,10.3109/17435390.2013.778345,2014
ATC00029,10.1016/S0742-8413(99)00010-9,1999
ATC00030,10.5897/AJMR11.1380,2012
ATC00031,10.1080/15287394.2014.971386,2015
ATC00032,10.1002/etc.1978,2012
ATC00033,10.1186/s12953-015-0072-7,2015
ATC00034,10.1897/02-237,2003
ATC00035,10.1016/j.ecoenv.2020.110173,2020
ATC00036,10.1016/j.impact.2021.100303,2021
ATC00037,10.1021/es403527n,2013
ATC00038,10.1088/2043-6262/5/1/015008,2014
ATC00039,10.1039/c4an02227k,2015
ATC00040,10.1021/es401758d,2013
ATC00041,10.1016/j.cbpc.2019.04.004,2019
ATC00042,10.1016/j.ecoenv.2017.02.034,2017
ATC00043,10.1007/s00128-018-2367-8,2018
ATC00044,10.1007/s11356-019-04941-5,2019
ATC00045,10.3109/17435390.2011.562328,2012
ATC00046,10.1155/2015/323090,2015
ATC00047,10.1039/d1en00444a,2021
ATC00048,10.1016/j.scitotenv.2020.139461,2020
ATC00049,10.1016/j.chemosphere.2010.03.022,2010
ATC00050,10.1016/j.scitotenv.2018.04.206,2018
ATC00051,10.1007/s10695-020-00909-2,2021
ATC00052,10.1002/jat.4239,2022
ATC00053,10.1016/j.envpol.2016.06.033,2016
ATC00054,10.1039/c5en00222b,2016
ATC00055,10.3390/nano11010066,2021
